author,href,mark,rating_nums,title
[日] 原研哉 ,https://book.douban.com/subject/1941558/,日常生活的无限可能性,8.6,设计中的设计
[美] 卡森·麦卡勒斯 ,https://book.douban.com/subject/1424741/,镇上有两个哑巴，他们总是在一起。,8.5,心是孤独的猎手
三毛 ,https://book.douban.com/subject/2136140/,None,8.7,雨季不再来
(英)W.萨默塞特·毛姆 ,https://book.douban.com/subject/10560798/,None,8.7,面纱
李海鹏 ,https://book.douban.com/subject/4872671/,嬉笑怒骂的常识分子,8.2,佛祖在一号线
梁文道 ,https://book.douban.com/subject/3642673/,梁文道的私密日记,8.0,我执
[意] 埃莱娜·费兰特 ,https://book.douban.com/subject/26986954/,None,9.0,新名字的故事
王小波 ,https://book.douban.com/subject/1014578/,活过，爱过，写过,9.1,我的精神家园
张爱玲 ,https://book.douban.com/subject/1082162/,None,8.4,第一炉香
苏童 ,https://book.douban.com/subject/1025753/,None,8.2,妻妾成群
海子 ,https://book.douban.com/subject/1011754/,None,8.9,海子的诗
江南 ,https://book.douban.com/subject/1321017/,乱世的英雄史诗,8.8,九州·缥缈录
严歌苓 ,https://book.douban.com/subject/27010212/,None,8.1,芳华
[澳] 马克斯·苏萨克 ,https://book.douban.com/subject/2180619/,不能说偷，是窃，窃你懂吗,8.0,偷书贼
龙应台 ,https://book.douban.com/subject/1426971/,中国人你为什么不生气？,8.8,野火集
[美] 尼尔·波兹曼 ,https://book.douban.com/subject/1062193/,None,8.6,娱乐至死
[美]马里奥·普佐 ,https://book.douban.com/subject/1092335/,None,9.0,教父
三毛 ,https://book.douban.com/subject/1036490/,None,8.8,万水千山走遍
[英] 莎士比亚 ,https://book.douban.com/subject/1006197/,None,8.5,哈姆莱特
[日] 岛田庄司 ,https://book.douban.com/subject/3187737/,一桩占星术连续杀人案件,8.3,占星术杀人魔法
[美] 约翰·威廉斯 ,https://book.douban.com/subject/26425831/,None,8.8,斯通纳
[日] 村上春树 ,https://book.douban.com/subject/1020670/,深入村上春树的心灵腹地,8.3,舞！舞！舞！
白先勇 ,https://book.douban.com/subject/5337248/,None,8.9,台北人
吴军 ,https://book.douban.com/subject/6709783/,了解IT领域的入门读物,9.1,浪潮之巅
[英]狄更斯 ,https://book.douban.com/subject/1203251/,None,8.1,雾都孤儿
王朔 ,https://book.douban.com/subject/1143694/,None,8.3,动物凶猛
